;Country Name;Country Code;Year;Value
0;Argentina;ARG;1960;4.494680621
3;Argentina;ARG;1961;4.46571
6;Argentina;ARG;1962;4.46571
9;Argentina;ARG;1963;4.46571
12;Argentina;ARG;1964;4.46571
15;Argentina;ARG;1965;4.987833993
18;Argentina;ARG;1966;4.96398
21;Argentina;ARG;1967;4.96398
24;Argentina;ARG;1968;4.96398
27;Argentina;ARG;1969;4.96398
30;Argentina;ARG;1970;5.397855277
33;Argentina;ARG;1971;5.38932
36;Argentina;ARG;1972;5.38932
39;Argentina;ARG;1973;5.38932
42;Argentina;ARG;1974;5.38932
45;Argentina;ARG;1975;6.380538731
48;Argentina;ARG;1976;6.382592608
51;Argentina;ARG;1977;6.333809742
54;Argentina;ARG;1978;6.365550349
57;Argentina;ARG;1979;6.514614524
60;Argentina;ARG;1980;6.704775052
63;Argentina;ARG;1981;7.723571311
66;Argentina;ARG;1982;8.164330917
69;Argentina;ARG;1983;7.732288548
72;Argentina;ARG;1984;8.714098395
75;Argentina;ARG;1985;8.950652013
78;Argentina;ARG;1986;9.298746865
81;Argentina;ARG;1987;9.501303688
84;Argentina;ARG;1988;10.02106858
87;Argentina;ARG;1989;9.587833226
90;Argentina;ARG;1990;9.24
93;Argentina;ARG;1991;9.42
96;Argentina;ARG;1992;10.7
99;Argentina;ARG;1993;11.7
102;Argentina;ARG;1994;14.4
105;Argentina;ARG;1995;16.3
108;Argentina;ARG;1996;17.6
111;Argentina;ARG;1997;19.0
114;Argentina;ARG;1998;19.5
117;Argentina;ARG;1999;19.6
120;Argentina;ARG;2000;21.2
123;Argentina;ARG;2001;21.6
126;Argentina;ARG;2002;20.3
129;Argentina;ARG;2003;22.4
132;Argentina;ARG;2004;22.6
135;Argentina;ARG;2005;24.1
138;Argentina;ARG;2006;23.9
141;Argentina;ARG;2007;23.7
144;Argentina;ARG;2008;24.1
147;Argentina;ARG;2009;23.9
150;Argentina;ARG;2010;24.0
153;Argentina;ARG;2011;23.3
156;Argentina;ARG;2012;22.4
159;Argentina;ARG;2013;22.7
162;Argentina;ARG;2014;22.8
165;Argentina;ARG;2015;23.2
168;Argentina;ARG;2016;23.2
