"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Fixed telephone subscriptions (per 100 people)","IT.MLT.MAIN.P2","","","","","","","","","","","","","","","","","","","","","","","14.25945877","15.70277782","17.14089818","18.6109991","20.22369216","21.54693561","24.43263073","27.04347018","29","28.6","29.6","29.5","29.3","36","42.8","41","41.9","42.3","42.9","41.1","40.6","40.5","40.8","40.6","40.5","40","39.3","37.1","35","","35.4","34.1","33.9","33.6","","","","32.7","32.6","32.5","32.1","",
"Africa Eastern and Southern","AFE","Fixed telephone subscriptions (per 100 people)","IT.MLT.MAIN.P2","0.83700459546021","0.84236798921054","0.843302196219782","0.844147336182397","0.844889227805325","0.802419854733094","0.793235824489002","0.793285841568396","0.793241386460741","0.793198742032217","0.771958056645876","0.773276941796367","0.773499133684909","0.773571514370305","0.773216401974737","0.875758878147607","0.870190826369553","0.912702954973511","0.977188107679895","0.983141221293721","1.02805571229005","1.03580052842938","1.08778728137668","1.12624419658964","1.14195656237037","1.18268965116224","1.25377088467902","1.28536714447889","1.33484942230713","1.39054844180459","1.44710621965375","1.47204063915524","1.44456822634339","1.46669845113227","1.50618643524761","1.56704616122248","1.63714955222042","1.74399830747354","1.86832640404802","1.98617578265713","1.87304961979575","1.87292095668847","1.91629374584511","1.9706050270912","1.96453208243361","1.85876793295021","1.84016930031967","1.8555090751088","1.84939926255462","1.88896679036097","1.80633241960719","1.71250705863338","1.61877274668544","1.34662191535518","1.29973385870506","1.3","1.3","1.3","1","0.8","0.7","0.6","0.6","0.5",
"Afghanistan","AFG","Fixed telephone subscriptions (per 100 people)","IT.MLT.MAIN.P2","0.089301599","0.0855843","0.0855843","0.0855843","0.0855843","0.097227988","0.093408","0.093408","0.093408","0.093408","0.148796072","0.143194","0.143194","0.143194","0.143194","0.176847227","0.178668178","0.1749781","0.195534971","0.194819661","0.206620969","0.284172531","0.27754957","0.291414848","0.292863331","0.294894838","0.306265757","0.319682007","0.327443839","0.32792513","0.301","0.302","0.218","0.194","0.178","0.17","0.163","0.157","0.151","0.146","0.144","0.143","0.155","0.161","","","","","","0.0187","0.0588","0.046","0.295","0.303","0.311","0.325","0.329","0.333","0.348","0.356","0.373","0.364","0.4","0.439",
"Africa Western and Central","AFW","Fixed telephone subscriptions (per 100 people)","IT.MLT.MAIN.P2","0.060733011696502","0.061229388011098","0.0613443745262043","0.0614623022162539","0.0615840875969119","","0.0847722833008651","0.0849248866901991","0.0850697344460691","0.0852375115365332","","0.0978044355292099","0.0982270142513586","0.0986435134688902","0.0989955654614608","","","","","","","0.231021098132839","0.226620961997935","0.24747002260334","0.255090338789755","0.260687980873497","0.26981765269629","0.277338087636034","0.283129969637817","0.29440489909695","0.319144879710241","0.326362144177382","0.350685263642796","0.368176209812486","0.391795347330836","0.424545371031515","0.451066402647719","0.47613335153898","0.526052395344194","0.581384243902782","0.664712875620078","0.719843165137343","0.76643663892199","0.797818431858228","0.858342716425024","0.915791887126688","1.08943705198388","1.05555496179614","0.965839668264998","1.07996467971097","0.945105557126738","0.863591059788961","0.780607913978651","0.755516430012959","0.768008216911777","0.7","0.7","0.6","0.6","0.5","0.6","0.5","0.5","0.5",
"Angola","AGO","Fixed telephone subscriptions (per 100 people)","IT.MLT.MAIN.P2","0.124430766","0.122201","0.122201","0.122201","0.122201","0.17431983","0.173293","0.173293","0.173293","0.173293","0.215599449","0.220699","0.220699","0.220699","0.220699","0.255946745","0.261463812","0.266244438","0.321684494","0.372985042","0.432170483","0.425188983","0.550789793","0.4946799","0.47828473","0.474895195","0.465421298","0.579761264","0.58768962","0.585690036","0.602","0.599","0.394","0.416","0.4","0.385","0.371","0.425","0.429","0.429","0.401","0.459","0.463","0.474","0.507","0.502","0.49","0.454","0.53","1.35","1.21","0.659","0.828","0.821","1.06","1.01","1.04","0.533","0.549","0.385","0.356","0.348","0.264","0.236",
"Albania","ALB","Fixed telephone subscriptions (per 100 people)","IT.MLT.MAIN.P2","0.400014259","0.418376","0.418376","0.418376","0.418376","0.696142729","0.737855","0.737855","0.737855","0.737855","7.441721214","8.04387","8.04387","8.04387","8.04387","0.817320863","0.829169062","0.857721021","0.871770654","0.900039221","0.928049953","0.969125662","0.986459528","1.003914944","1.021800758","1.049113653","1.091319087","1.111908665","1.133919232","1.174523533","1.22","1.26","1.37","1.31","1.27","1.29","1.97","2.69","3.6","4.4","4.82","6.27","7.02","8.18","8.86","9.07","8.39","9.92","11.5","12.3","11.4","11.6","10.7","9.67","8.12","7.82","8.58","8.51","8.59","8.42","7.78","6.94","6.27","6.16",
"Andorra","AND","Fixed telephone subscriptions (per 100 people)","IT.MLT.MAIN.P2","","","","","","3.686771863","2.69556","2.69556","2.69556","2.69556","9.516616314","7.78547","7.78547","7.78547","7.78547","13.95441389","14.2486516","15.22827878","17.01663904","18.53728545","19.72985875","24.18146916","26.90553915","29.67946181","30.81956331","31.95617439","34.18046267","35.44662538","36.07161558","37.62151904","40.9","41.3","42","42.3","43.9","46.6","48.4","49.4","50.4","51.1","52.1","52.4","52.5","50.6","47.1","45.8","45.9","45.4","44.8","45.2","47.3","49.4","49.9","51.3","51.9","53.8","53.6","52.1","52.4","51.9","62.8","63.5","63.8","63.9",
"Arab World","ARB","Fixed telephone subscriptions (per 100 people)","IT.MLT.MAIN.P2","","","","","","","0.678223860434247","0.679674338049817","0.681111953254255","0.682512836996028","0.827909911164426","0.799584470091435","0.802601556837932","0.805438544641513","0.807701717311818","0.989114309925858","1.02905877526409","1.11470954557473","1.21944572894137","1.37680127657905","","1.66982715471522","2.0282658472267","2.18909665441262","2.33201784167448","2.57803336451489","2.75606458088219","2.88693010265034","3.01982060607673","3.19021572789357","3.41551036549524","3.65385254166837","3.89918023529104","4.10596175015484","4.33249773437884","4.60595876422734","4.9318588203775","5.3002688282776","5.80837862279458","6.42407109176101","6.90267371872146","7.41462243515131","8.1330948007531","8.67688891773772","9.0858284490239","9.32772333919514","9.51597778679811","9.93607541817085","10.0786012513463","9.72694146353782","9.60443782059374","9.38214705732919","9.15761335129793","8.4725388392884","7.24005846798719","7.40338028991252","7.64447069405084","8.15335997506725","8.23789171736995","8.39839954284368","8.67417578117014","8.99048256334658","9.48106494049654","",
"United Arab Emirates","ARE","Fixed telephone subscriptions (per 100 people)","IT.MLT.MAIN.P2","","","","","","","","","","","","","","","","4.749408348","5.871434456","7.049476488","8.951705844","10.60991665","11.89204061","12.96069734","13.96559165","14.37015382","14.43105758","15.00881456","15.02541707","15.72425819","17.58902072","19.68535137","20.9","21.8","23.2","24.9","26.4","27.6","28.4","29.6","30.1","29.9","29.2","28.3","27.6","27.1","26.8","26.5","26.1","24.6","25.3","23.6","21.3","25.4","26.2","26.6","25.5","26","25.3","25.1","25.1","25.2","25.2","22.9","22.3","21.2",
"Argentina","ARG","Fixed telephone subscriptions (per 100 people)","IT.MLT.MAIN.P2","4.494680621","4.46571","4.46571","4.46571","4.46571","4.987833993","4.96398","4.96398","4.96398","4.96398","5.397855277","5.38932","5.38932","5.38932","5.38932","6.380538731","6.382592608","6.333809742","6.365550349","6.514614524","6.704775052","7.723571311","8.164330917","7.732288548","8.714098395","8.950652013","9.298746865","9.501303688","10.02106858","9.587833226","9.24","9.42","10.7","11.7","14.4","16.3","17.6","19","19.5","19.6","21.2","21.6","20.3","22.4","22.6","24.1","23.9","23.7","24.1","23.9","24","23.3","22.4","22.7","22.8","23.2","23.2","22","21.9","17.2","16.3","16.8","15.5","15.4",
"Armenia","ARM","Fixed telephone subscriptions (per 100 people)","IT.MLT.MAIN.P2","","","","","","","","","","","","","","","","6.711888309","7.250602577","8.430216188","8.886770692","9.363725187","9.569002556","10.73274333","11.24293452","11.73458469","12.22455779","12.72381802","13.22440432","14.02414062","14.88043084","15.37040055","15.8","15.8","16.2","16.9","17.4","17.6","17.7","17.5","17.3","17.2","17.1","17.2","17.8","18.5","19.2","19.8","20.2","21","21.2","20.4","20.2","20.1","20","19.8","19.6","18.9","18.2","17.2","16.4","15.6","14.8","14.6","12.7","11.2",
"American Samoa","ASM","Fixed telephone subscriptions (per 100 people)","IT.MLT.MAIN.P2","","","","","","","","","","","","","","","","","","","","","","","13.00647496","12.52211787","12.18298051","11.8495361","11.52325271","11.20395873","10.89104464","10.58589699","11.8","11.5","12.2","15.9","18.5","18.7","18.7","18.6","18.4","18.1","18","22.1","24.6","18.8","18.2","18.4","18.4","18.5","18.6","18.7","18.8","","18.4","18.5","18.5","18.9","","","","19.9","20.1","20.3","20.1","",
"Antigua and Barbuda","ATG","Fixed telephone subscriptions (per 100 people)","IT.MLT.MAIN.P2","","","","","","","","","","","2.634923587","2.64892","2.64892","2.64892","2.64892","2.967127352","2.96921394","","","","","5.378326879","6.132053778","7.644324853","8.867537713","10.76128397","12.36246755","14.76232654","17.19233534","20.42868816","25.3","21.6","26.1","29.3","36.3","38","40.2","43.6","47","49.5","51.1","49","49.4","48.8","48.3","45.8","46.5","46.4","45.8","44.4","42.6","41.1","38","37.6","22.4","22.4","25","26.5","","29.6","29.4","29.2","29.4","",
