,Country Name,Country Code,Year,Internet Usage (%)
0,Argentina,ARG,1960,
1,Chile,CHL,1960,
2,Uruguay,URY,1960,
3,Argentina,ARG,1961,
4,Chile,CHL,1961,
5,Uruguay,URY,1961,
6,Argentina,ARG,1962,
7,Chile,CHL,1962,
8,Uruguay,URY,1962,
9,Uruguay,URY,1963,
10,Chile,CHL,1963,
11,Argentina,ARG,1963,
12,Argentina,ARG,1964,
13,Chile,CHL,1964,
14,Uruguay,URY,1964,
15,Argentina,ARG,1965,
16,Chile,CHL,1965,
17,Uruguay,URY,1965,
18,Argentina,ARG,1966,
19,Chile,CHL,1966,
20,Uruguay,URY,1966,
21,Uruguay,URY,1967,
22,Chile,CHL,1967,
23,Argentina,ARG,1967,
24,Argentina,ARG,1968,
25,Chile,CHL,1968,
26,Uruguay,URY,1968,
27,Argentina,ARG,1969,
28,Chile,CHL,1969,
29,Uruguay,URY,1969,
30,Argentina,ARG,1970,
31,Chile,CHL,1970,
32,Uruguay,URY,1970,
33,Uruguay,URY,1971,
34,Chile,CHL,1971,
35,Argentina,ARG,1971,
36,Argentina,ARG,1972,
37,Chile,CHL,1972,
38,Uruguay,URY,1972,
39,Argentina,ARG,1973,
40,Chile,CHL,1973,
41,Uruguay,URY,1973,
42,Argentina,ARG,1974,
43,Chile,CHL,1974,
44,Uruguay,URY,1974,
45,Uruguay,URY,1975,
46,Chile,CHL,1975,
47,Argentina,ARG,1975,
48,Argentina,ARG,1976,
49,Chile,CHL,1976,
50,Uruguay,URY,1976,
51,Argentina,ARG,1977,
52,Chile,CHL,1977,
53,Uruguay,URY,1977,
54,Argentina,ARG,1978,
55,Chile,CHL,1978,
56,Uruguay,URY,1978,
57,Uruguay,URY,1979,
58,Chile,CHL,1979,
59,Argentina,ARG,1979,
60,Argentina,ARG,1980,
61,Chile,CHL,1980,
62,Uruguay,URY,1980,
63,Argentina,ARG,1981,
64,Chile,CHL,1981,
65,Uruguay,URY,1981,
66,Argentina,ARG,1982,
67,Chile,CHL,1982,
68,Uruguay,URY,1982,
69,Uruguay,URY,1983,
70,Chile,CHL,1983,
71,Argentina,ARG,1983,
72,Argentina,ARG,1984,
73,Chile,CHL,1984,
74,Uruguay,URY,1984,
75,Argentina,ARG,1985,
76,Chile,CHL,1985,
77,Uruguay,URY,1985,
78,Argentina,ARG,1986,
79,Chile,CHL,1986,
80,Uruguay,URY,1986,
81,Uruguay,URY,1987,
82,Chile,CHL,1987,
83,Argentina,ARG,1987,
84,Argentina,ARG,1988,
85,Chile,CHL,1988,
86,Uruguay,URY,1988,
87,Argentina,ARG,1989,
88,Chile,CHL,1989,
89,Uruguay,URY,1989,
90,Argentina,ARG,1990,0.0
91,Chile,CHL,1990,0.0
92,Uruguay,URY,1990,0.0
93,Chile,CHL,1991,0.0
94,Uruguay,URY,1991,0.0
95,Argentina,ARG,1991,0.0
96,Argentina,ARG,1992,0.002992874
97,Chile,CHL,1992,0.036548938
98,Uruguay,URY,1992,0.0
99,Argentina,ARG,1993,0.029527065
100,Chile,CHL,1993,0.071783144
101,Uruguay,URY,1993,0.0
102,Argentina,ARG,1994,0.043705951
103,Chile,CHL,1994,0.141084507
104,Uruguay,URY,1994,0.062474386
105,Uruguay,URY,1995,0.310128582
106,Chile,CHL,1995,0.346980781
107,Argentina,ARG,1995,0.086277081
108,Argentina,ARG,1996,0.141954704
109,Chile,CHL,1996,0.68347561
110,Uruguay,URY,1996,1.847472089
111,Argentina,ARG,1997,0.280339882
112,Chile,CHL,1997,1.057092496
113,Uruguay,URY,1997,3.363239668
114,Argentina,ARG,1998,0.83076668
115,Chile,CHL,1998,1.662322022
116,Uruguay,URY,1998,6.987069365
117,Uruguay,URY,1999,9.972765285
118,Chile,CHL,1999,4.103419297
119,Argentina,ARG,1999,3.284481956
120,Argentina,ARG,2000,7.03868
121,Chile,CHL,2000,16.6
122,Uruguay,URY,2000,10.5391
123,Argentina,ARG,2001,9.78081
124,Chile,CHL,2001,19.1
125,Uruguay,URY,2001,11.1214
126,Argentina,ARG,2002,10.8821
127,Chile,CHL,2002,22.1
128,Uruguay,URY,2002,11.4195
129,Uruguay,URY,2003,15.9371
130,Chile,CHL,2003,25.4738
131,Argentina,ARG,2003,11.9137
132,Argentina,ARG,2004,16.0367
133,Chile,CHL,2004,28.1779
134,Uruguay,URY,2004,17.0631
135,Argentina,ARG,2005,17.7206
136,Chile,CHL,2005,31.1753
137,Uruguay,URY,2005,20.0882
138,Argentina,ARG,2006,20.9272
139,Chile,CHL,2006,34.4978
140,Uruguay,URY,2006,29.4
141,Uruguay,URY,2007,34.0
142,Argentina,ARG,2007,25.9466
143,Chile,CHL,2007,35.9
144,Argentina,ARG,2008,28.1126
145,Chile,CHL,2008,37.3
146,Uruguay,URY,2008,39.3
147,Argentina,ARG,2009,34.0
148,Chile,CHL,2009,41.56
149,Uruguay,URY,2009,41.8
150,Argentina,ARG,2010,45.0
151,Chile,CHL,2010,45.0
152,Uruguay,URY,2010,46.4
153,Uruguay,URY,2011,51.4047
154,Chile,CHL,2011,52.2496
155,Argentina,ARG,2011,51.0
156,Argentina,ARG,2012,55.8
157,Chile,CHL,2012,55.05
158,Uruguay,URY,2012,54.4538
159,Argentina,ARG,2013,59.9
160,Chile,CHL,2013,58.0
161,Uruguay,URY,2013,57.69
162,Argentina,ARG,2014,64.7
