;Country Name;Country Code;Year;Mobile Cellular Subscriptions
0;Argentina;ARG;1960;0.0
1;Chile;CHL;1960;0.0
2;Uruguay;URY;1960;0.0
3;Argentina;ARG;1961;
4;Chile;CHL;1961;
5;Uruguay;URY;1961;
6;Argentina;ARG;1962;
7;Chile;CHL;1962;
8;Uruguay;URY;1962;
11;Uruguay;URY;1963;
10;Chile;CHL;1963;
9;Argentina;ARG;1963;
12;Argentina;ARG;1964;
13;Chile;CHL;1964;
14;Uruguay;URY;1964;
15;Argentina;ARG;1965;0.0
16;Chile;CHL;1965;0.0
17;Uruguay;URY;1965;0.0
18;Argentina;ARG;1966;
19;Chile;CHL;1966;
20;Uruguay;URY;1966;
23;Uruguay;URY;1967;
22;Chile;CHL;1967;
21;Argentina;ARG;1967;
24;Argentina;ARG;1968;
25;Chile;CHL;1968;
26;Uruguay;URY;1968;
27;Argentina;ARG;1969;
28;Chile;CHL;1969;
29;Uruguay;URY;1969;
30;Argentina;ARG;1970;0.0
31;Chile;CHL;1970;0.0
32;Uruguay;URY;1970;0.0
35;Uruguay;URY;1971;
34;Chile;CHL;1971;
33;Argentina;ARG;1971;
36;Argentina;ARG;1972;
37;Chile;CHL;1972;
38;Uruguay;URY;1972;
39;Argentina;ARG;1973;
40;Chile;CHL;1973;
41;Uruguay;URY;1973;
42;Argentina;ARG;1974;
43;Chile;CHL;1974;
44;Uruguay;URY;1974;
47;Uruguay;URY;1975;0.0
46;Chile;CHL;1975;0.0
45;Argentina;ARG;1975;0.0
48;Argentina;ARG;1976;0.0
49;Chile;CHL;1976;0.0
50;Uruguay;URY;1976;0.0
51;Argentina;ARG;1977;0.0
52;Chile;CHL;1977;0.0
53;Uruguay;URY;1977;0.0
54;Argentina;ARG;1978;0.0
55;Chile;CHL;1978;0.0
56;Uruguay;URY;1978;0.0
59;Uruguay;URY;1979;0.0
58;Chile;CHL;1979;0.0
57;Argentina;ARG;1979;0.0
60;Argentina;ARG;1980;0.0
61;Chile;CHL;1980;0.0
62;Uruguay;URY;1980;0.0
63;Argentina;ARG;1981;0.0
64;Chile;CHL;1981;0.0
65;Uruguay;URY;1981;0.0
66;Argentina;ARG;1982;0.0
67;Chile;CHL;1982;0.0
68;Uruguay;URY;1982;0.0
71;Uruguay;URY;1983;0.0
70;Chile;CHL;1983;0.0
69;Argentina;ARG;1983;0.0
72;Argentina;ARG;1984;0.0
73;Chile;CHL;1984;0.0
74;Uruguay;URY;1984;0.0
75;Argentina;ARG;1985;0.0
76;Chile;CHL;1985;0.0
77;Uruguay;URY;1985;0.0
78;Argentina;ARG;1986;0.0
79;Chile;CHL;1986;0.0
80;Uruguay;URY;1986;0.0
83;Uruguay;URY;1987;0.0
82;Chile;CHL;1987;0.0
81;Argentina;ARG;1987;0.0
84;Argentina;ARG;1988;0.0
85;Chile;CHL;1988;0.0
86;Uruguay;URY;1988;0.0
87;Argentina;ARG;1989;2300.0
88;Chile;CHL;1989;4886.0
89;Uruguay;URY;1989;0.0
90;Argentina;ARG;1990;12000.0
91;Chile;CHL;1990;13921.0
92;Uruguay;URY;1990;0.0
94;Chile;CHL;1991;36136.0
95;Uruguay;URY;1991;0.0
93;Argentina;ARG;1991;25000.0
96;Argentina;ARG;1992;46590.0
97;Chile;CHL;1992;64438.0
98;Uruguay;URY;1992;1712.0
99;Argentina;ARG;1993;112000.0
100;Chile;CHL;1993;85186.0
101;Uruguay;URY;1993;4969.0
102;Argentina;ARG;1994;241163.0
103;Chile;CHL;1994;115691.0
104;Uruguay;URY;1994;6825.0
107;Uruguay;URY;1995;39904.0
106;Chile;CHL;1995;197314.0
105;Argentina;ARG;1995;405395.0
108;Argentina;ARG;1996;667020.0
109;Chile;CHL;1996;319474.0
110;Uruguay;URY;1996;78601.0
111;Argentina;ARG;1997;2009073.0
112;Chile;CHL;1997;409740.0
113;Uruguay;URY;1997;99235.0
114;Argentina;ARG;1998;2670862.0
115;Chile;CHL;1998;964248.0
116;Uruguay;URY;1998;151341.0
119;Uruguay;URY;1999;319131.0
118;Chile;CHL;1999;2260687.0
117;Argentina;ARG;1999;3848869.0
120;Argentina;ARG;2000;6490000.0
121;Chile;CHL;2000;3400000.0
122;Uruguay;URY;2000;410787.0
123;Argentina;ARG;2001;6740000.0
124;Chile;CHL;2001;5100000.0
125;Uruguay;URY;2001;519991.0
126;Argentina;ARG;2002;6570000.0
127;Chile;CHL;2002;6240000.0
128;Uruguay;URY;2002;513528.0
131;Uruguay;URY;2003;497530.0
130;Chile;CHL;2003;7270000.0
129;Argentina;ARG;2003;7840000.0
132;Argentina;ARG;2004;13500000.0
133;Chile;CHL;2004;9260000.0
134;Uruguay;URY;2004;599768.0
135;Argentina;ARG;2005;22200000.0
136;Chile;CHL;2005;10600000.0
137;Uruguay;URY;2005;1150000.0
138;Argentina;ARG;2006;31500000.0
139;Chile;CHL;2006;12500000.0
140;Uruguay;URY;2006;2330000.0
143;Uruguay;URY;2007;3000000.0
141;Argentina;ARG;2007;40400000.0
142;Chile;CHL;2007;14000000.0
