;Country Name;Country Code;Year;Fixed Telephone Lines
0;Argentina;ARG;1960;4,494680621
1;Bolivia;BOL;1960;
2;Chile;CHL;1960;1,618839522
3;Paraguay;PRY;1960;0,432176202
4;Uruguay;URY;1960;4,349509158
5;Uruguay;URY;1961;4,33302
6;Chile;CHL;1961;1,6206
7;Paraguay;PRY;1961;0,430099
8;Argentina;ARG;1961;4,46571
9;Bolivia;BOL;1961;
10;Argentina;ARG;1962;4,46571
11;Bolivia;BOL;1962;
12;Chile;CHL;1962;1,6206
13;Paraguay;PRY;1962;0,430099
14;Uruguay;URY;1962;4,33302
15;Uruguay;URY;1963;4,33302
16;Chile;CHL;1963;1,6206
17;Paraguay;PRY;1963;0,430099
18;Argentina;ARG;1963;4,46571
19;Bolivia;BOL;1963;
20;Argentina;ARG;1964;4,46571
21;Bolivia;BOL;1964;
22;Chile;CHL;1964;1,6206
23;Paraguay;PRY;1964;0,430099
24;Uruguay;URY;1964;4,33302
25;Chile;CHL;1965;1,812130737
26;Uruguay;URY;1965;5,297663395
27;Paraguay;PRY;1965;0,456803384
28;Bolivia;BOL;1965;
29;Argentina;ARG;1965;4,987833993
30;Argentina;ARG;1966;4,96398
31;Bolivia;BOL;1966;
32;Chile;CHL;1966;1,8132
33;Paraguay;PRY;1966;0,450673
34;Uruguay;URY;1966;5,26992
35;Uruguay;URY;1967;5,26992
36;Chile;CHL;1967;1,8132
37;Paraguay;PRY;1967;0,450673
38;Bolivia;BOL;1967;
39;Argentina;ARG;1967;4,96398
40;Argentina;ARG;1968;4,96398
41;Bolivia;BOL;1968;
42;Chile;CHL;1968;1,8132
43;Paraguay;PRY;1968;0,450673
44;Uruguay;URY;1968;5,26992
45;Uruguay;URY;1969;5,26992
46;Paraguay;PRY;1969;0,450673
47;Chile;CHL;1969;1,8132
48;Bolivia;BOL;1969;
49;Argentina;ARG;1969;4,96398
50;Argentina;ARG;1970;5,397855277
51;Bolivia;BOL;1970;
52;Chile;CHL;1970;2,413323501
53;Paraguay;PRY;1970;0,759676966
54;Uruguay;URY;1970;5,734222377
55;Uruguay;URY;1971;5,69437
56;Paraguay;PRY;1971;0,739424
57;Chile;CHL;1971;2,42254
58;Bolivia;BOL;1971;
59;Argentina;ARG;1971;5,38932
60;Argentina;ARG;1972;5,38932
61;Bolivia;BOL;1972;
62;Chile;CHL;1972;2,42254
63;Paraguay;PRY;1972;0,739424
64;Uruguay;URY;1972;5,69437
65;Argentina;ARG;1973;5,38932
66;Bolivia;BOL;1973;
67;Chile;CHL;1973;2,42254
68;Paraguay;PRY;1973;0,739424
69;Uruguay;URY;1973;5,69437
70;Argentina;ARG;1974;5,38932
71;Bolivia;BOL;1974;
72;Chile;CHL;1974;2,42254
73;Paraguay;PRY;1974;0,739424
74;Uruguay;URY;1974;5,69437
75;Uruguay;URY;1975;6,511264488
76;Chile;CHL;1975;2,791476691
77;Paraguay;PRY;1975;1,10426189
78;Bolivia;BOL;1975;
79;Argentina;ARG;1975;6,380538731
80;Argentina;ARG;1976;6,382592608
81;Bolivia;BOL;1976;
82;Chile;CHL;1976;2,850566985
83;Paraguay;PRY;1976;1,148448371
84;Uruguay;URY;1976;6,675673638
85;Uruguay;URY;1977;6,943186517
86;Paraguay;PRY;1977;1,236524647
87;Chile;CHL;1977;2,962663152
88;Bolivia;BOL;1977;
89;Argentina;ARG;1977;6,333809742
90;Argentina;ARG;1978;6,365550349
91;Bolivia;BOL;1978;
92;Chile;CHL;1978;3,097574124
93;Paraguay;PRY;1978;1,37304787
94;Uruguay;URY;1978;6,972356657
95;Uruguay;URY;1979;7,209096792
96;Paraguay;PRY;1979;1,528698096
97;Chile;CHL;1979;3,105004896
98;Bolivia;BOL;1979;
99;Argentina;ARG;1979;6,514614524
100;Argentina;ARG;1980;6,704775052
101;Bolivia;BOL;1980;2,355263727
102;Chile;CHL;1980;3,164825139
103;Paraguay;PRY;1980;1,607970608
104;Uruguay;URY;1980;7,44815912
105;Uruguay;URY;1981;7,634666138
106;Paraguay;PRY;1981;1,730503503
107;Chile;CHL;1981;3,322897917
108;Bolivia;BOL;1981;2,421972407
109;Argentina;ARG;1981;7,723571311
110;Argentina;ARG;1982;8,164330917
111;Bolivia;BOL;1982;2,471992707
112;Chile;CHL;1982;3,423240732
113;Paraguay;PRY;1982;1,872387118
114;Uruguay;URY;1982;7,817716407
115;Uruguay;URY;1983;8,274585188
116;Paraguay;PRY;1983;2,022926016
117;Chile;CHL;1983;3,647639342
118;Bolivia;BOL;1983;2,450732115
119;Argentina;ARG;1983;7,732288548
120;Argentina;ARG;1984;8,714098395
121;Bolivia;BOL;1984;2,522726597
122;Chile;CHL;1984;3,959594849
123;Paraguay;PRY;1984;2,118391154
124;Uruguay;URY;1984;8,631050227
125;Uruguay;URY;1985;9,524081928
126;Paraguay;PRY;1985;2,181701135
127;Chile;CHL;1985;4,357226557
128;Bolivia;BOL;1985;2,48598807
129;Argentina;ARG;1985;8,950652013
130;Argentina;ARG;1986;9,298746865
131;Bolivia;BOL;1986;2,449776395
132;Chile;CHL;1986;4,458723168
133;Paraguay;PRY;1986;2,219840502
134;Uruguay;URY;1986;10,09224962
135;Uruguay;URY;1987;10,19959873
136;Paraguay;PRY;1987;2,290314385
137;Bolivia;BOL;1987;2,465655293
138;Argentina;ARG;1987;9,501303688
139;Chile;CHL;1987;4,568590169
140;Argentina;ARG;1988;10,02106858
141;Bolivia;BOL;1988;2,429368766
142;Chile;CHL;1988;4,841671821
143;Paraguay;PRY;1988;2,454975852
144;Uruguay;URY;1988;11,22212258
145;Bolivia;BOL;1989;2,445367692
146;Argentina;ARG;1989;9,587833226
147;Chile;CHL;1989;4,919504856
148;Paraguay;PRY;1989;2,61491949
149;Uruguay;URY;1989;12,13181367
150;Chile;CHL;1990;6,43
151;Paraguay;PRY;1990;2,79
152;Argentina;ARG;1990;9,24
153;Bolivia;BOL;1990;2,56
154;Uruguay;URY;1990;13,4
155;Paraguay;PRY;1991;2,9
156;Chile;CHL;1991;7,73
157;Uruguay;URY;1991;14,5
158;Argentina;ARG;1991;9,42
159;Bolivia;BOL;1991;2,8
160;Argentina;ARG;1992;10,7
161;Bolivia;BOL;1992;2,8
162;Chile;CHL;1992;9,24
163;Paraguay;PRY;1992;3,01
164;Uruguay;URY;1992;15,7
165;Argentina;ARG;1993;11,7
166;Bolivia;BOL;1993;3,06
167;Chile;CHL;1993;10,8
168;Paraguay;PRY;1993;3,26
169;Uruguay;URY;1993;16,8
170;Argentina;ARG;1994;14,4
171;Bolivia;BOL;1994;3,14
172;Chile;CHL;1994;11,1
173;Paraguay;PRY;1994;3,38
174;Uruguay;URY;1994;18,3
175;Uruguay;URY;1995;19,5
176;Paraguay;PRY;1995;3,64
177;Chile;CHL;1995;12,5
178;Argentina;ARG;1995;16,3
179;Bolivia;BOL;1995;3,14
180;Argentina;ARG;1996;17,6
181;Bolivia;BOL;1996;4,35
182;Chile;CHL;1996;14,6
183;Paraguay;PRY;1996;3,76
184;Uruguay;URY;1996;20,9
185;Uruguay;URY;1997;23,6
186;Paraguay;PRY;1997;4,55
187;Bolivia;BOL;1997;4,71
188;Argentina;ARG;1997;19,0
189;Chile;CHL;1997;18,0
190;Argentina;ARG;1998;19,5
191;Bolivia;BOL;1998;5,44
192;Chile;CHL;1998;20,1
193;Paraguay;PRY;1998;5,32
194;Uruguay;URY;1998;25,4
195;Uruguay;URY;1999;27,6
196;Paraguay;PRY;1999;5,36
197;Chile;CHL;1999;20,3
198;Argentina;ARG;1999;19,6
199;Bolivia;BOL;1999;5,94
200;Argentina;ARG;2000;21,2
201;Bolivia;BOL;2000;5,93
202;Chile;CHL;2000;21,3
203;Paraguay;PRY;2000;5,55
204;Uruguay;URY;2000;28,4
205;Uruguay;URY;2001;29,0
206;Paraguay;PRY;2001;5,57
207;Argentina;ARG;2001;21,6
208;Bolivia;BOL;2001;5,99
209;Chile;CHL;2001;22,2
210;Argentina;ARG;2002;20,3
211;Bolivia;BOL;2002;6,64
212;Chile;CHL;2002;21,9
213;Paraguay;PRY;2002;5,19
214;Uruguay;URY;2002;28,9
215;Paraguay;PRY;2003;5,27
216;Uruguay;URY;2003;28,6
217;Chile;CHL;2003;20,3
218;Argentina;ARG;2003;22,4
219;Bolivia;BOL;2003;6,74
220;Argentina;ARG;2004;22,6
221;Bolivia;BOL;2004;6,79
222;Chile;CHL;2004;20,7
223;Paraguay;PRY;2004;5,63
224;Uruguay;URY;2004;30,4
225;Uruguay;URY;2005;30,6
226;Paraguay;PRY;2005;5,88
227;Chile;CHL;2005;21,2
228;Argentina;ARG;2005;24,1
229;Bolivia;BOL;2005;6,9
230;Argentina;ARG;2006;23,9
231;Bolivia;BOL;2006;7,0
232;Chile;CHL;2006;20,5
233;Paraguay;PRY;2006;6,01
234;Uruguay;URY;2006;30,0
235;Uruguay;URY;2007;29,3
236;Chile;CHL;2007;20,8
237;Paraguay;PRY;2007;7,09
238;Argentina;ARG;2007;23,7
239;Bolivia;BOL;2007;7,0
240;Argentina;ARG;2008;24,1
241;Bolivia;BOL;2008;8,01
242;Chile;CHL;2008;20,9
243;Paraguay;PRY;2008;6,6
244;Uruguay;URY;2008;29,1
245;Uruguay;URY;2009;28,8
246;Paraguay;PRY;2009;6,83
247;Argentina;ARG;2009;23,9
248;Bolivia;BOL;2009;8,03
249;Chile;CHL;2009;20,9
250;Argentina;ARG;2010;24,0
251;Bolivia;BOL;2010;8,36
252;Chile;CHL;2010;20,1
253;Paraguay;PRY;2010;6,33
254;Uruguay;URY;2010;29,0
255;Paraguay;PRY;2011;6,34
256;Uruguay;URY;2011;29,0
257;Chile;CHL;2011;19,4
258;Argentina;ARG;2011;23,3
259;Bolivia;BOL;2011;8,49
260;Argentina;ARG;2012;22,4
261;Bolivia;BOL;2012;8,37
262;Chile;CHL;2012;18,8
263;Paraguay;PRY;2012;6,97
264;Uruguay;URY;2012;30,3
265;Uruguay;URY;2013;31,3
266;Paraguay;PRY;2013;7,32
267;Chile;CHL;2013;18,9
268;Argentina;ARG;2013;22,7
269;Bolivia;BOL;2013;8,19
270;Argentina;ARG;2014;22,8
271;Bolivia;BOL;2014;8,08
272;Chile;CHL;2014;19,2
273;Paraguay;PRY;2014;6,13
274;Uruguay;URY;2014;32,3
275;Uruguay;URY;2015;32,9
276;Chile;CHL;2015;19,1
277;Paraguay;PRY;2015;5,6
278;Argentina;ARG;2015;23,2
279;Bolivia;BOL;2015;8,0
280;Argentina;ARG;2016;23,2
281;Bolivia;BOL;2016;7,76
282;Chile;CHL;2016;18,5
