;Country Name;Country Code;Year;Value
0;Argentina;ARG;1960;0,0
3;Argentina;ARG;1961;
6;Argentina;ARG;1962;
9;Argentina;ARG;1963;
12;Argentina;ARG;1964;
15;Argentina;ARG;1965;0,0
18;Argentina;ARG;1966;
21;Argentina;ARG;1967;
24;Argentina;ARG;1968;
27;Argentina;ARG;1969;
30;Argentina;ARG;1970;0,0
33;Argentina;ARG;1971;
36;Argentina;ARG;1972;
39;Argentina;ARG;1973;
42;Argentina;ARG;1974;
45;Argentina;ARG;1975;0,0
48;Argentina;ARG;1976;0,0
51;Argentina;ARG;1977;0,0
54;Argentina;ARG;1978;0,0
57;Argentina;ARG;1979;0,0
60;Argentina;ARG;1980;0,0
63;Argentina;ARG;1981;0,0
66;Argentina;ARG;1982;0,0
69;Argentina;ARG;1983;0,0
72;Argentina;ARG;1984;0,0
75;Argentina;ARG;1985;0,0
78;Argentina;ARG;1986;0,0
81;Argentina;ARG;1987;0,0
84;Argentina;ARG;1988;0,0
87;Argentina;ARG;1989;0,007150459
90;Argentina;ARG;1990;0,036767345
93;Argentina;ARG;1991;0,075515553
96;Argentina;ARG;1992;0,13879172
99;Argentina;ARG;1993;0,329148059
102;Argentina;ARG;1994;0,6992523
105;Argentina;ARG;1995;1,160057586
108;Argentina;ARG;1996;1,884803688
111;Argentina;ARG;1997;5,609433289
114;Argentina;ARG;1998;7,371312411
117;Argentina;ARG;1999;10,50082052
120;Argentina;ARG;2000;17,5015229
123;Argentina;ARG;2001;17,98746665
126;Argentina;ARG;2002;17,33333812
129;Argentina;ARG;2003;20,48748472
132;Argentina;ARG;2004;34,94389378
135;Argentina;ARG;2005;56,70883514
138;Argentina;ARG;2006;79,81991978
141;Argentina;ARG;2007;101,3182303
144;Argentina;ARG;2008;115,4815533
147;Argentina;ARG;2009;128,9999606
150;Argentina;ARG;2010;138,8859542
153;Argentina;ARG;2011;146,2467408
156;Argentina;ARG;2012;153,3349717
159;Argentina;ARG;2013;158,9154655
162;Argentina;ARG;2014;142,9902363
165;Argentina;ARG;2015;142,9639551
168;Argentina;ARG;2016;145,9179567
171;Argentina;ARG;2017;140,5014607
174;Argentina;ARG;2018;131,9371685
177;Argentina;ARG;2019;125,9409814
180;Argentina;ARG;2020;121,6001889
183;Argentina;ARG;2021;130,4550081
186;Argentina;ARG;2022;132,3578095
189;Argentina;ARG;2023;
1;Chile;CHL;1960;0,0
4;Chile;CHL;1961;
7;Chile;CHL;1962;
10;Chile;CHL;1963;
13;Chile;CHL;1964;
16;Chile;CHL;1965;0,0
19;Chile;CHL;1966;
22;Chile;CHL;1967;
25;Chile;CHL;1968;
28;Chile;CHL;1969;
31;Chile;CHL;1970;0,0
34;Chile;CHL;1971;
37;Chile;CHL;1972;
40;Chile;CHL;1973;
43;Chile;CHL;1974;
46;Chile;CHL;1975;0,0
49;Chile;CHL;1976;0,0
52;Chile;CHL;1977;0,0
55;Chile;CHL;1978;0,0
58;Chile;CHL;1979;0,0
61;Chile;CHL;1980;0,0
64;Chile;CHL;1981;0,0
67;Chile;CHL;1982;0,0
70;Chile;CHL;1983;0,0
73;Chile;CHL;1984;0,0
76;Chile;CHL;1985;0,0
79;Chile;CHL;1986;0,0
82;Chile;CHL;1987;0,0
85;Chile;CHL;1988;0,0
88;Chile;CHL;1989;0,037216408
91;Chile;CHL;1990;0,104332892
94;Chile;CHL;1991;0,266451437
97;Chile;CHL;1992;0,467541804
100;Chile;CHL;1993;0,608541585
103;Chile;CHL;1994;0,814113391
106;Chile;CHL;1995;1,368639745
109;Chile;CHL;1996;2,185860172
112;Chile;CHL;1997;2,766776987
115;Chile;CHL;1998;6,429716534
118;Chile;CHL;1999;14,89605908
121;Chile;CHL;2000;22,15717664
124;Chile;CHL;2001;32,85744801
127;Chile;CHL;2002;39,78841312
130;Chile;CHL;2003;45,83031509
133;Chile;CHL;2004;57,81873304
136;Chile;CHL;2005;65,34385645
139;Chile;CHL;2006;76,22360399
142;Chile;CHL;2007;84,59985967
145;Chile;CHL;2008;88,80729074
148;Chile;CHL;2009;97,72343715
151;Chile;CHL;2010;116,7493111
154;Chile;CHL;2011;129,9394599
157;Chile;CHL;2012;138,0537951
160;Chile;CHL;2013;135,1310128
163;Chile;CHL;2014;133,8868853
166;Chile;CHL;2015;129,861175
169;Chile;CHL;2016;128,8584324
172;Chile;CHL;2017;125,28541
175;Chile;CHL;2018;134,6365175
178;Chile;CHL;2019;131,5774455
181;Chile;CHL;2020;129,8851806
184;Chile;CHL;2021;136,3134058
187;Chile;CHL;2022;134,7453263
190;Chile;CHL;2023;
2;Uruguay;URY;1960;0,0
5;Uruguay;URY;1961;
8;Uruguay;URY;1962;
11;Uruguay;URY;1963;
14;Uruguay;URY;1964;
17;Uruguay;URY;1965;0,0
20;Uruguay;URY;1966;
23;Uruguay;URY;1967;
26;Uruguay;URY;1968;
29;Uruguay;URY;1969;
32;Uruguay;URY;1970;0,0
35;Uruguay;URY;1971;
38;Uruguay;URY;1972;
41;Uruguay;URY;1973;
44;Uruguay;URY;1974;
47;Uruguay;URY;1975;0,0
50;Uruguay;URY;1976;0,0
53;Uruguay;URY;1977;0,0
56;Uruguay;URY;1978;0,0
59;Uruguay;URY;1979;0,0
62;Uruguay;URY;1980;0,0
65;Uruguay;URY;1981;0,0
68;Uruguay;URY;1982;0,0
71;Uruguay;URY;1983;0,0
74;Uruguay;URY;1984;0,0
77;Uruguay;URY;1985;0,0
80;Uruguay;URY;1986;0,0
83;Uruguay;URY;1987;0,0
86;Uruguay;URY;1988;0,0
89;Uruguay;URY;1989;0,0
92;Uruguay;URY;1990;0,0
95;Uruguay;URY;1991;0,0
98;Uruguay;URY;1992;0,054284892
101;Uruguay;URY;1993;0,156664401
104;Uruguay;URY;1994;0,213953532
107;Uruguay;URY;1995;1,243773961
110;Uruguay;URY;1996;2,436006067
113;Uruguay;URY;1997;3,058024344
116;Uruguay;URY;1998;4,638544413
119;Uruguay;URY;1999;9,732680729
122;Uruguay;URY;2000;12,47749242
125;Uruguay;URY;2001;15,75282064
128;Uruguay;URY;2002;15,53114058
131;Uruguay;URY;2003;15,03020057
134;Uruguay;URY;2004;18,09909527
137;Uruguay;URY;2005;34,81132061
140;Uruguay;URY;2006;70,13284845
143;Uruguay;URY;2007;90,25647327
146;Uruguay;URY;2008;105,1463884
149;Uruguay;URY;2009;122,9476137
152;Uruguay;URY;2010;132,3477451
155;Uruguay;URY;2011;141,5210804
158;Uruguay;URY;2012;148,1833852
161;Uruguay;URY;2013;155,8020277
164;Uruguay;URY;2014;162,0767046
167;Uruguay;URY;2015;151,7998906
170;Uruguay;URY;2016;149,8853759
173;Uruguay;URY;2017;148,9559056
176;Uruguay;URY;2018;130,1172556
179;Uruguay;URY;2019;132,0241348
182;Uruguay;URY;2020;132,7256301
185;Uruguay;URY;2021;136,9212202
188;Uruguay;URY;2022;138,526391
