search_term,id,title,category_id,price,currency_id,available_quantity,sold_quantity,condition,listing_type_id,seller_id,shipping_free,warranty,catalog_listing,status
chromecast,MLA1473706801,Google Chromecast 4k Chromecast With Google Tv Ga01919-us De Voz 4.ª Generación 4k 8gb Sky Con 2gb De Memoria Ram,MLA352001,106999,ARS,,,new,gold_special,821536236,True,Garantía de fábrica: 6 meses,True,active
chromecast,MLA1426486539,Google Chromecast 4 Generación Con Google Tv Blanco,MLA352001,144599,ARS,,,new,gold_special,727644501,True,Garantía de fábrica: 12 meses,True,active
chromecast,MLA2012499596,Adaptador Smart Tv Box 4k Color Negro 32gb,MLA352001,36270,ARS,,,new,gold_special,1124499880,True,Garantía de fábrica: 1 meses,True,active
chromecast,MLA932850134,Chromecast With Google Tv De Voz 4 Generación 4k 8gb Snow Con 2gb De Memoria Ram,MLA352001,121399,ARS,,,new,gold_special,579983671,True,Garantía del vendedor: 6 meses,True,active
chromecast,MLA1976418540,Chromecast With Google Tv De Voz 4ª Generación 4k 8gb Snow Con 2gb De Memoria Ram,MLA352001,112999,ARS,,,new,gold_special,821536236,True,Garantía de fábrica: 6 meses,True,active
chromecast,MLA1445319617,Onn Google Tv Fhd Streaming Stick 2da Generación 8gb 1.5gb Ram Color Negro Control Remoto De Voz,MLA352001,66890.0,ARS,,,new,gold_special,155107410,True,Garantía del vendedor: 6 meses,True,active
chromecast,MLA1835051588,Chromecast Google Ga03131 Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco,MLA352001,105999,ARS,,,new,gold_special,1848533798,True,Garantía del vendedor: 6 meses,True,active
chromecast,MLA1947297766,Mi Tv Stick Xiaomi 4k Mdz-27-eu 2.ª Generación Color Negro,MLA352001,95990.0,ARS,,,new,gold_special,70413483,True,Garantía de fábrica: 6 meses,True,active
chromecast,MLA1475129595,Chromecast tv Gen 4 - 4k Hdr. Wifi+bth+c. Remoto,MLA352001,135900,ARS,,,new,gold_pro,1159314697,True,Garantía del vendedor: 3 meses,True,active
chromecast,MLA1446111159,Google Chromecast Ultra 4k Negro,MLA352001,160539.0,ARS,,,new,gold_special,1803908857,True,Garantía del vendedor: 30 días,True,active
chromecast,MLA1949495790,Tv Box Smart Z8pro 32gb El Mas Rapido Full Apps!!,MLA352001,91900,ARS,,,new,gold_special,98229044,True,Garantía del vendedor: 30 días,False,active
